round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
100,0.1471303697043692,0.0,0.660818716587379,0.16214809083758885,0.052305034207339264,0.623115579986093,relu,28,0.5,100,20,3,glorot_normal,sigmoid,logcosh,1.5,dense,<class 'keras.optimizers.Nadam'>,brick
200,5.466956305922124,0.0,0.6608187137988576,6.23623180269596,0.007537688442211055,0.6130653251355617,elu,12,0.5,200,40,0,glorot_uniform,sigmoid,binary_crossentropy,0.5,dense,<class 'keras.optimizers.Adadelta'>,triangle
50,0.2866505457643877,0.5040644616411444,0.33918128846681606,0.26593602856798987,0.555457877753368,0.3869346715697092,elu,44,0.0,50,40,1,random_normal,sigmoid,logcosh,1,dense,<class 'keras.optimizers.Nadam'>,brick
50,0.28188748422421905,0.8131654105688396,0.9005847886988991,0.26764948961872553,0.8624836853401145,0.9120602973142461,relu,36,0.5,50,40,4,random_uniform,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Adadelta'>,brick
150,0.6594571659439489,0.0,0.6608187211187262,1.7103264235970963,0.2251144458151343,0.5452261372427245,elu,36,0.8,150,30,3,glorot_uniform,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Nadam'>,triangle
100,0.049346658395702354,0.7109127103933814,0.8596491311725817,0.025279291552121764,0.9022460325279428,0.9271356753967516,elu,28,0.1,100,40,3,random_normal,sigmoid,logcosh,1,dense,<class 'keras.optimizers.Adadelta'>,brick
200,0.2866505457643877,0.5040644616411444,0.33918128846681606,0.26593603395936477,0.553135974622851,0.3869346724682717,elu,44,0.0,200,20,0,random_normal,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.Adam'>,triangle
150,0.10727599250120029,0.0,0.660818716587379,0.11261216348888886,0.036618991263547736,0.6180904519617857,relu,28,0.1,150,10,5,glorot_uniform,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.Nadam'>,funnel
150,0.14713036600086424,0.0,0.6608187078732496,0.1689345992390235,0.0,0.6105527623214914,relu,20,0.1,150,30,2,glorot_uniform,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.SGD'>,brick
150,0.03322024678550007,0.8712432827168738,0.9239765956387882,0.0736889975079939,0.6688571689116894,0.7964824147559889,elu,28,0.8,150,20,4,random_uniform,sigmoid,logcosh,1,dense,<class 'keras.optimizers.Adam'>,brick
150,0.2866505457643877,0.5040644616411444,0.33918128846681606,0.26593602856798987,0.5505476638899377,0.38693466992234465,elu,44,0.0,150,40,0,random_uniform,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.Nadam'>,brick
150,8.287453495271025,0.5012218075537542,0.339181286375425,1.6135438453012974,0.14450681119707962,0.5678391929846912,elu,28,0.8,150,10,2,glorot_normal,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.SGD'>,triangle
150,0.1804531464865159,0.8693975046364187,0.9181286452109354,0.15415841573147318,0.92054968742869,0.9422110492859653,elu,28,0.0,150,20,5,glorot_uniform,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Adadelta'>,triangle
50,0.6484287597282589,0.0,0.6608187183302049,0.7307032861901288,0.17678826231153766,0.6180904492660982,relu,44,0.8,50,30,4,random_normal,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.Adam'>,brick
150,0.10877943823212072,0.0,0.660818716587379,0.11366494610231725,0.0,0.6105527587272414,relu,28,0.8,150,10,3,random_uniform,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.SGD'>,brick
200,0.14713036517302194,0.0,0.6608187183302049,0.1581572148967628,0.14704490748781654,0.5929648235215613,elu,44,0.8,200,20,1,random_normal,sigmoid,logcosh,1.5,dense,<class 'keras.optimizers.SGD'>,brick
50,0.039149289809038715,0.763814201480464,0.8771929922159653,0.032187503131033954,0.8636421093988658,0.907035174082272,elu,28,0.1,50,30,4,random_normal,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.Adam'>,triangle
50,0.10741768546446025,0.0,0.6608187078732496,0.11206763645811896,0.0422023521296343,0.6180904495656191,relu,20,0.8,50,20,5,random_normal,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.Adadelta'>,brick
150,0.21411470305283517,0.8593351056701258,0.9239765956387882,0.19914435119784657,0.8818262093630268,0.9145728589302331,elu,28,0.1,150,40,3,glorot_uniform,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Nadam'>,triangle
