round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
150,0.09166812903790678,0.5302549722917836,0.7616113751420478,0.020708872662870043,0.8917132102101375,0.942299878098334,relu,256,0.0,150,64,2,glorot_normal,sigmoid,logcosh,2,dense,<class 'keras.optimizers.Adam'>,brick
200,0.07000589668044546,0.5980920144731965,0.7895734594896506,0.06558293629133426,0.6282619862041062,0.7994717597380153,elu,128,0.6,200,256,4,glorot_normal,sigmoid,logcosh,2,dense,<class 'keras.optimizers.Nadam'>,triangle
150,0.4535970898601116,0.5465362192895176,0.8056872040174584,0.35555692739430506,0.6466608544473288,0.8277123123589012,relu,64,0.3,150,64,0,glorot_normal,sigmoid,binary_crossentropy,3,dense,<class 'keras.optimizers.Adadelta'>,brick
150,0.408548377023489,0.5901317777791859,0.8184834116443074,0.437463243891194,0.5492315817804464,0.790125964957977,elu,256,0.8,150,256,1,random_normal,sigmoid,binary_crossentropy,4,dense,<class 'keras.optimizers.SGD'>,triangle
200,0.49602291115087355,0.0,0.7511848343492119,0.5588580283485065,0.14613470678550353,0.7366924014143806,elu,32,0.8,200,64,1,random_uniform,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.Adam'>,funnel
150,0.07228988207770749,0.5934065910312237,0.781516587847217,0.0601301511605064,0.6087962310278333,0.8199918732707068,relu,32,0.7,150,256,5,random_uniform,sigmoid,logcosh,0.09,dense,<class 'keras.optimizers.Nadam'>,brick
150,0.10793126935218748,0.0,0.7511848343492119,0.1184480991100984,0.0,0.7269402682563242,elu,32,0.6,150,256,5,glorot_uniform,sigmoid,logcosh,2,dense,<class 'keras.optimizers.Nadam'>,brick
200,1.7021198058015363,0.45764235588611585,0.7189573462540505,0.10521592777744632,0.9111123857387727,0.9524583505305368,elu,256,0.0,200,64,5,glorot_normal,sigmoid,binary_crossentropy,2,dense,<class 'keras.optimizers.Adam'>,brick
100,0.0674457636560309,0.5355815711179616,0.8066350708640582,0.05314818131958794,0.6458710455787904,0.8384802928788543,relu,64,0.0,100,128,4,random_normal,sigmoid,logcosh,3,dense,<class 'keras.optimizers.Nadam'>,triangle
200,0.7212481524707017,0.4532629304587559,0.7521327017042874,0.24995449087887167,0.7808427630232292,0.8866314504360678,elu,64,0.0,200,64,0,random_uniform,sigmoid,binary_crossentropy,2,dense,<class 'keras.optimizers.Nadam'>,funnel
100,0.4656970047272777,0.5847683999210738,0.796208530579698,0.36282254997088337,0.6509788053784609,0.824664770733385,relu,128,0.3,100,64,0,glorot_uniform,sigmoid,binary_crossentropy,4,dense,<class 'keras.optimizers.Adadelta'>,funnel
100,0.4947287178717518,0.0,0.7511848344057093,0.5582469697891819,0.0,0.7269402684985211,relu,256,0.7,100,256,1,random_normal,sigmoid,binary_crossentropy,3,dense,<class 'keras.optimizers.Adadelta'>,funnel
100,0.06957221090511123,0.5625652741481908,0.7943127963780227,0.053140785313509964,0.6857527167949188,0.8447785456216418,relu,128,0.3,100,128,5,glorot_uniform,sigmoid,logcosh,2,dense,<class 'keras.optimizers.Adam'>,triangle
100,0.5712594420988978,0.0,0.7511848344057093,0.5900831746405966,0.0,0.7269402678445895,relu,128,0.3,100,128,4,random_uniform,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.SGD'>,triangle
100,0.45527700716850317,0.0,0.7511848343492119,0.4929492201130839,0.43462341128932125,0.7446160098247924,elu,32,0.3,100,64,4,random_normal,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Nadam'>,funnel
100,1.1962897769647751,0.5223474037025777,0.7582938395405268,0.17355672163190225,0.8523310195716693,0.9209670863806451,elu,128,0.0,100,64,4,random_uniform,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Nadam'>,triangle
150,0.4109863500741986,0.6014813079653193,0.8227488149398876,0.4088725415200346,0.5895755664331551,0.8013002845825388,relu,64,0.7,150,128,0,glorot_uniform,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.Nadam'>,funnel
150,0.4160731430302299,0.5695424371986028,0.8232227485326794,0.4116806698760963,0.5515903565080512,0.8017066232269734,elu,32,0.6,150,64,1,random_normal,sigmoid,binary_crossentropy,4,dense,<class 'keras.optimizers.SGD'>,triangle
100,0.08773820046423736,0.0,0.7511848344057093,0.09462289818536455,0.0,0.7269402680625667,relu,256,0.3,100,64,5,random_normal,sigmoid,logcosh,0.09,dense,<class 'keras.optimizers.Adadelta'>,funnel
200,0.08732930738920285,0.0,0.7511848344057093,0.09301701929209824,0.0,0.726940268353203,relu,64,0.3,200,128,5,random_normal,sigmoid,logcosh,3,dense,<class 'keras.optimizers.Nadam'>,funnel
100,0.06157473483215576,0.5496555985150179,0.8194312793948639,0.06311112649099994,0.5513061434696575,0.8000812676804475,elu,32,0.7,100,64,0,random_normal,sigmoid,logcosh,3,dense,<class 'keras.optimizers.Adam'>,brick
200,1.764628733503875,0.49486596409178457,0.7431279623677945,0.10514544970206446,0.9059543960077983,0.9492076389773112,elu,256,0.0,200,256,1,random_normal,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Adam'>,triangle
200,0.0634407239149532,0.5755432007437069,0.8113744073569492,0.05961038873556279,0.6430931778905451,0.8212108897610633,relu,32,0.8,200,256,0,glorot_uniform,sigmoid,logcosh,3,dense,<class 'keras.optimizers.Adadelta'>,funnel
100,0.6472820691587801,0.5453640114639607,0.7549763026960653,0.24752759476930616,0.8057405067042382,0.8973994314161949,relu,128,0.0,100,256,4,random_uniform,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.Adam'>,triangle
100,0.5075682572843904,0.06132104408119527,0.7573459717899702,0.5642912419817885,0.19608024299168964,0.7456318570413709,elu,32,0.7,100,256,5,glorot_normal,sigmoid,binary_crossentropy,2,dense,<class 'keras.optimizers.Adadelta'>,funnel
150,0.06475815112698134,0.5717614760896041,0.8056872044129394,0.054530479186485084,0.681115859289181,0.8396993093207714,elu,64,0.0,150,64,5,glorot_uniform,sigmoid,logcosh,0.09,dense,<class 'keras.optimizers.Adam'>,funnel
150,1.4364369062450826,0.5386255845074405,0.7526066344496198,0.14405903944345277,0.8723844327077978,0.93234457564228,elu,256,0.0,150,128,4,random_uniform,sigmoid,binary_crossentropy,3,dense,<class 'keras.optimizers.Adam'>,brick
200,0.09278208432604351,0.5132743746748468,0.7578199058912377,0.02805504651512377,0.8560098189253577,0.9246241363361084,relu,64,0.0,200,128,0,glorot_uniform,sigmoid,logcosh,5,dense,<class 'keras.optimizers.Nadam'>,funnel
